id,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
32183,9365164,1,1,4,1,0,2,1,
32184,9365719,1,2,1,1,1,1,1,
32185,9367812,1,2,2,1,1,1,1,
32186,9369691,1,1,7,2,3,4,1,
32187,9378843,1,1,4,1,1,2,1,
32188,9379442,3,1,4,1,1,2,1,
32189,9384196,1,1,2,1,0,0,1,
32190,9384541,1,1,4,1,2,4,1,
32191,9385154,4,1,4,1,2,3,1,
32192,9404425,1,1,2,1,1,1,1,
32193,9406582,1,1,2,1,0,1,1,
32194,9901505,1,2,1,1,1,1,1,
32195,9428334,1,1,8,3,4,7,1,
32196,9440377,1,1,2,1,1,1,1,
32197,9443277,1,1,3,1,1,2,1,
32198,9446140,1,2,1,1,1,1,1,
32199,9446656,1,1,6,2,2,4,1,
32200,9455866,2,2,1,1,1,1,1,
32201,9456280,1,1,4,1,1,0,1,
32202,9456855,1,1,5,1,2,3,1,
32203,9457772,1,2,2,1,1,1,1,
32204,9458304,1,1,4,1,1,2,1,
32205,9460773,1,1,3,1,1,2,1,
32206,9901912,1,2,1,1,1,1,1,
32207,9470166,1,1,4,1,1,1,1,
32208,9471684,1,1,3,1,1,2,1,
32209,9471912,1,1,3,1,1,3,1,
32210,10144206,1,2,1,1,1,1,1,
32211,9476554,3,1,2,1,1,1,1,
32212,9481901,1,2,4,1,1,2,1,
32213,9481913,1,2,4,1,1,2,1,
32214,9493091,4,1,2,1,1,1,1,
32215,9506096,1,1,3,1,1,2,1,
32216,9507765,1,2,2,2,1,1,1,
32217,10913431,7,1,6,1,2,3,1,
32218,9515897,1,1,5,1,2,4,1,
32219,9517384,7,2,2,2,1,1,1,
32220,9519748,1,1,4,1,1,2,1,
32221,9521636,1,1,4,2,2,3,1,
32222,9522115,4,2,1,1,1,1,1,
32223,9523095,1,2,1,2,1,0,1,
32224,9523922,1,1,4,1,1,1,1,
32225,9535469,1,1,5,1,1,3,1,
32226,9536336,1,1,3,1,2,2,1,
32227,9537747,7,2,2,1,1,1,1,
32228,9539049,1,2,2,1,1,1,1,
32229,9541759,1,1,2,1,1,1,1,
32230,9543984,1,2,4,1,1,3,1,
32231,9549784,4,2,4,1,1,2,1,
32232,9557761,1,2,1,2,1,1,1,
32233,9559303,1,2,1,2,1,2,1,
32234,9562318,1,2,2,1,1,1,1,
32235,9567861,1,1,2,1,0,2,1,
32236,9573767,1,1,4,1,1,1,1,
32237,9582935,1,1,4,1,1,2,1,
32238,9589526,1,2,2,2,1,1,1,
32239,9600924,1,1,4,1,2,3,1,
32240,9603905,1,2,1,1,1,1,1,
32241,14037440,1,2,2,1,1,1,1,
32242,9606598,1,1,2,1,1,1,1,
32243,9608728,1,2,1,1,1,1,1,
32244,9639826,7,1,10,4,5,9,1,
32245,9609003,3,1,4,1,2,2,1,
32246,9624385,1,1,3,1,1,1,1,
32247,9639251,1,1,4,2,2,4,1,
32248,9639977,1,1,5,2,2,3,1,
32249,9642700,1,1,2,1,1,1,1,
32250,9644304,1,1,4,1,2,4,1,
32251,9646543,1,1,7,1,2,4,1,
32252,9650088,1,1,4,1,1,2,1,
32253,9659461,1,1,6,1,2,0,1,
32254,9664064,1,2,2,1,1,1,1,
32255,9666029,1,1,3,1,0,2,1,
32256,9667090,7,1,3,1,1,1,1,
32257,9690816,1,1,4,1,1,2,1,
32258,9708445,1,1,4,1,1,3,1,
32259,9708971,1,1,1,1,1,1,1,
32260,9711735,1,2,2,1,1,2,1,
32261,9721363,1,1,4,1,2,3,1,
32262,9721913,3,1,4,1,1,2,1,
32263,9734480,1,1,6,1,2,4,1,
32264,9740740,3,1,2,1,1,1,1,
32265,9742300,1,2,1,1,1,1,1,
32266,9745553,1,1,4,2,2,3,1,
32267,9750362,1,1,6,1,2,6,1,
32268,9752583,1,2,1,1,1,1,1,
32269,9752728,1,1,3,1,1,2,1,
32270,9753354,1,1,8,2,3,5,1,
32271,9764502,1,2,2,1,1,1,1,
32272,9757508,3,1,6,1,2,3,1,
32273,9763866,1,2,2,1,1,2,1,
32274,9764128,1,1,5,1,1,3,1,
32275,9767399,1,1,4,1,1,2,1,
32276,9767406,1,1,7,3,3,6,1,
32277,9773037,4,2,2,2,1,1,1,
32278,9773780,1,2,2,1,1,1,1,
32279,9774134,1,1,6,1,2,4,1,
32280,9774594,1,1,3,1,0,1,1,
32281,9788198,4,1,5,1,1,2,1,
32282,9797799,7,2,2,1,1,1,1,
32283,9798653,1,2,2,2,1,1,1,
32284,9800010,4,2,1,1,1,1,1,
32285,9804644,1,1,2,1,1,1,1,
32286,9804971,1,1,2,1,1,2,1,
32287,9811609,1,1,4,2,2,2,1,
32288,9811664,1,1,2,1,1,1,1,
32289,9812499,1,1,10,1,4,8,1,
32290,9820179,1,2,1,2,1,1,1,
32291,9832499,3,1,4,1,1,2,1,
32292,9836719,3,1,3,1,1,2,1,
32293,9838814,1,2,2,1,1,1,1,
32294,9839053,3,1,2,1,1,1,1,
32295,9842185,1,1,4,2,2,2,1,
32296,9850462,1,1,8,3,4,6,1,
